symbol,value,type,default
SIGNATURE_1,0x0000,U8,0
AFE_NOF_CELL,0x0001,U8,0
AFE_NOF_NTC,0x0002,U8,0
CUV_DELAY,0x0003,U8,0
COV_DELAY,0x0004,U8,0
COT_DELAY,0x0005,U8,0
CUT_DELAY,0x0006,U8,0
OVC_DELAY,0x0007,U8,0
UVD_DELAY,0x0008,U8,0
OCC_DELAY,0x0009,U8,0
OCD_DELAY,0x000A,U8,0
BALANCE_GAP,0x000B,U8,0
COULOMB_CHECKSUM,0x000C,U8,0
SHUNT_RESISTANCE,0x000D,U8,0
BALANCE_CONTROL,0x000E,U8,0
DCHG_TIMEOUT,0x000F,U8,0
AFE_SHORT_PROTECTION,0x0010,U8,0
AFE_SHORT_ACTIVE_TIME,0x0011,U8,0
AFE_SHORT_DETECTION_ACTION,0x0012,U8,0
AFE_TEMP_PROTECTION,0x0013,U8,0
FET_NTC_ID,0x0014,U8,0
BALANCE_NTC_ID,0x0015,U8,0
FET_OT_DELAY,0x0016,U8,0
BAL_OT_DELAY,0x0017,U8,0
SOC_THRESHOLD,0x0018,U8,0
SOC_DELAY,0x0019,U8,0
NTC_CONFIG,0x001A,U8,0
DCIR_C1,0x001B,U8,0
DCIR_C2,0x001C,U8,0
DCIR_C3,0x001D,U8,0
DCIR_C4,0x001E,U8,0
DCIR_C5,0x001F,U8,0
DCIR_C6,0x0020,U8,0
DCIR_C7,0x0021,U8,0
DCIR_C8,0x0022,U8,0
DEVICE_ID,0x0023,U8,0
UART_CONNECTION,0x0024,U8,0
CHEMICAL_TYPE,0x0025,U8,0
NOF_U8_DEFS,0x0026,U8,0
CUV_THRESHOLD,0x1000,U16,0
CUV_RECOVERY,0x1001,U16,0
COV_THRESHOLD,0x1002,U16,0
COV_RECOVERY,0x1003,U16,0
OVC_THRESHOLD,0x1004,U16,0
OVC_RECOVERY,0x1005,U16,0
UVD_THRESHOLD,0x1006,U16,0
UVD_RECOVERY,0x1007,U16,0
MIN_CV_1,0x1008,U16,0
MIN_CV_2,0x1009,U16,0
MIN_CV_3,0x100A,U16,0
MIN_CV_4,0x100B,U16,0
MIN_CV_5,0x100C,U16,0
MIN_CV_6,0x100D,U16,0
MIN_CV_7,0x100E,U16,0
MIN_CV_8,0x100F,U16,0
MAX_CV_1,0x1010,U16,0
MAX_CV_2,0x1011,U16,0
MAX_CV_3,0x1012,U16,0
MAX_CV_4,0x1013,U16,0
MAX_CV_5,0x1014,U16,0
MAX_CV_6,0x1015,U16,0
MAX_CV_7,0x1016,U16,0
MAX_CV_8,0x1017,U16,0
MIN_CT,0x1018,U16,0
MAX_CT,0x1019,U16,0
BALANCE_CV,0x101A,U16,0
FAULT_CV,0x101B,U16,0
CHARGE_VOLTAGE_LOW,0x101C,U16,0
CHARGE_VOLTAGE_HIGH,0x101D,U16,0
CYCLE_COUNTS,0x101E,U16,0
FCC_CURRENT,0x101F,U16,0
FCC_DELAY,0x1020,U16,0
FCC_COUNT,0x1021,U16,0
DD_COUNT,0x1022,U16,0
PRECHARGE_START_VOLTAGE,0x1023,U16,0
PRECHARGE_END_VOLTAGE,0x1024,U16,0
QCHG_AH,0x1025,U16,0
QDHG_AH,0x1026,U16,0
NOF_U16_DEFS,0x1027,U16,0
COULOMB_VALUE,0x2000,U32,0
Q_IN_MAS,0x2001,U32,0
Q_OUT_MAS,0x2002,U32,0
Q_MAX_MAS,0x2003,U32,0
NOF_U32_DEFS,0x2005,U32,0
CV_OFFSET_1,0x3000,I8,0
CV_OFFSET_2,0x3001,I8,0
CV_OFFSET_3,0x3002,I8,0
CV_OFFSET_4,0x3003,I8,0
CV_OFFSET_5,0x3004,I8,0
CV_OFFSET_6,0x3005,I8,0
CV_OFFSET_7,0x3006,I8,0
CV_OFFSET_8,0x3007,I8,0
NTC_OFFSET_1,0x3008,I8,0
NTC_OFFSET_2,0x3009,I8,0
NTC_OFFSET_3,0x300A,I8,0
NTC_OFFSET_4,0x300B,I8,0
COT_THRESHOLD,0x300C,I8,0
COT_RECOVERY,0x300D,I8,0
CUT_THRESHOLD,0x300E,I8,0
CUT_RECOVERY,0x300F,I8,0
FET_OT_THRES,0x3010,I8,0
FET_OT_RECOVER,0x3011,I8,0
BAL_OT_THRES,0x3012,I8,0
BAL_OT_RECOVER,0x3013,I8,0
NOF_I8_DEFS,0x3014,I8,0
DCHG_GAP,0x4000,I16,0
CHARGE_CURRENT_THRESHOLD,0x4001,I16,0
DISCHARGE_CURRENT_THRESHOLD,0x4002,I16,0
OCC_THRESHOLD,0x4003,I16,0
OCC_RECOVERY,0x4004,I16,0
OCD_THRESHOLD,0x4005,I16,0
OCD_RECOVERY,0x4006,I16,0
NOF_I16_DEFS,0x4007,I16,0
BATTERY_CAPACITY,0x2004,U32,0
BALANCE_TARGET,0x8000,U8,0
SOC,0x8001,U8,0
SOH,0x8002,U8,0
BATTERY_STATE,0x8003,U8,0
BATTERY_FLAGS,0x8004,U8,0
NTC_STATE,0x8005,U8,0
CV1,0x9000,U16,0
CV2,0x9001,U16,0
CV3,0x9002,U16,0
CV4,0x9003,U16,0
CV5,0x9004,U16,0
CV6,0x9005,U16,0
CV7,0x9006,U16,0
CV8,0x9007,U16,0
CHARGE_VOLT,0x9008,U16,0
BAT_VOLT,0x9009,U16,0
ARG1,0x900A,U16,0
ARG2,0x900B,U16,0
COMMAND,0x900C,U16,0
CYCLE_COUNT,0x900D,U16,0
NTC1,0xB000,I8,0
NTC2,0xB001,I8,0
NTC3,0xB002,I8,0
NTC4,0xB003,I8,0
CURRENT,0xC000,I16,0
